,company,bus_stop,hotel,landmark
"POLYGON ((86.07922 55.313555, 86.071744 55.316396, 86.063869 55.314174, 86.063471 55.309112, 86.070946 55.306271, 86.07882 55.308493, 86.07922 55.313555))",0.0,2.0,0.0,0.0
"POLYGON ((86.044999 55.368246, 86.044603 55.363186, 86.052089 55.360346, 86.059972 55.362567, 86.06037 55.367628, 86.052884 55.370468, 86.044999 55.368246))",2.0,3.0,0.0,0.0
"POLYGON ((86.130944 55.38253, 86.131351 55.387589, 86.123867 55.390433, 86.115978 55.388217, 86.115573 55.383158, 86.123056 55.380314, 86.130944 55.38253))",0.0,6.0,0.0,0.0
"POLYGON ((85.948892 55.321292, 85.95638 55.318458, 85.964253 55.320686, 85.96464 55.325749, 85.957152 55.328584, 85.949277 55.326355, 85.948892 55.321292))",0.0,4.0,0.0,0.0
"POLYGON ((86.117193 55.403395, 86.116788 55.398336, 86.124273 55.395492, 86.132164 55.397708, 86.132571 55.402767, 86.125085 55.40561, 86.117193 55.403395))",1.0,5.0,0.0,0.0
"POLYGON ((85.971351 55.312788, 85.971739 55.317852, 85.964253 55.320686, 85.95638 55.318458, 85.955994 55.313394, 85.963479 55.31056, 85.971351 55.312788))",0.0,2.0,0.0,0.0
"POLYGON ((86.127696 55.34205, 86.135577 55.344267, 86.135984 55.349327, 86.128507 55.352171, 86.120625 55.349954, 86.12022 55.344894, 86.127696 55.34205))",1.0,8.0,1.0,0.0
"POLYGON ((86.194038 55.494106, 86.194452 55.499161, 86.186956 55.502008, 86.179045 55.4998, 86.178632 55.494744, 86.186128 55.491897, 86.194038 55.494106))",0.0,4.0,0.0,0.0
"POLYGON ((86.111323 55.426473, 86.110918 55.421414, 86.118408 55.418571, 86.126303 55.420786, 86.126709 55.425845, 86.119219 55.428688, 86.111323 55.426473))",0.0,1.0,0.0,0.0
"POLYGON ((86.093117 55.391685, 86.100604 55.388843, 86.108493 55.39106, 86.108897 55.39612, 86.10141 55.398962, 86.09352 55.396745, 86.093117 55.391685))",0.0,3.0,0.0,0.0
"POLYGON ((86.065064 55.32936, 86.057584 55.3322, 86.049707 55.329978, 86.04931 55.324916, 86.056789 55.322076, 86.064666 55.324298, 86.065064 55.32936))",2.0,1.0,0.0,0.0
"POLYGON ((86.059176 55.352445, 86.058778 55.347384, 86.06626 55.344544, 86.07414 55.346764, 86.07454 55.351825, 86.067057 55.354666, 86.059176 55.352445))",2.0,8.0,1.0,0.0
"POLYGON ((86.07694 55.382188, 86.07654 55.377128, 86.084025 55.374287, 86.091911 55.376506, 86.092313 55.381566, 86.084827 55.384407, 86.07694 55.382188))",0.0,3.0,0.0,0.0
"POLYGON ((86.024503 55.402065, 86.031998 55.399227, 86.039887 55.401448, 86.040284 55.406508, 86.032789 55.409347, 86.024898 55.407125, 86.024503 55.402065))",0.0,3.0,0.0,0.0
"POLYGON ((86.159225 55.350912, 86.151342 55.348698, 86.150933 55.343638, 86.158406 55.340792, 86.166288 55.343006, 86.166698 55.348066, 86.159225 55.350912))",0.0,5.0,0.0,1.0
"POLYGON ((86.128913 55.357231, 86.128507 55.352171, 86.135984 55.349327, 86.143867 55.351543, 86.144274 55.356603, 86.136797 55.359447, 86.128913 55.357231))",1.0,0.0,0.0,0.0
"POLYGON ((86.149709 55.328456, 86.14183 55.32624, 86.141423 55.32118, 86.148893 55.318335, 86.156771 55.32055, 86.157179 55.325611, 86.149709 55.328456))",1.0,0.0,0.0,0.0
"POLYGON ((86.089903 55.351204, 86.089501 55.346143, 86.09698 55.343301, 86.104861 55.345519, 86.105264 55.35058, 86.097785 55.353422, 86.089903 55.351204))",0.0,9.0,1.0,3.0
"POLYGON ((86.159634 55.355972, 86.167519 55.358186, 86.167929 55.363245, 86.160453 55.366091, 86.152567 55.363877, 86.152159 55.358818, 86.159634 55.355972))",0.0,3.0,0.0,4.0
"POLYGON ((85.990606 55.362804, 85.990216 55.357742, 85.997706 55.354906, 86.005587 55.357131, 86.005979 55.362192, 85.998488 55.365029, 85.990606 55.362804))",1.0,1.0,0.0,0.0
"POLYGON ((86.068654 55.374909, 86.068254 55.369848, 86.075739 55.367008, 86.083624 55.369227, 86.084025 55.374287, 86.07654 55.377128, 86.068654 55.374909))",0.0,3.0,0.0,5.0
"POLYGON ((86.050897 55.345163, 86.050501 55.340101, 86.057982 55.337261, 86.065861 55.339483, 86.06626 55.344544, 86.058778 55.347384, 86.050897 55.345163))",0.0,7.0,1.0,0.0
"POLYGON ((86.117402 55.502334, 86.125312 55.504547, 86.125719 55.509603, 86.118214 55.512446, 86.110303 55.510233, 86.109898 55.505177, 86.117402 55.502334))",0.0,1.0,0.0,0.0
"POLYGON ((86.001229 55.400456, 86.000837 55.395396, 86.008333 55.392559, 86.016221 55.394782, 86.016614 55.399842, 86.009118 55.40268, 86.001229 55.400456))",0.0,2.0,0.0,0.0
"POLYGON ((86.182878 55.357552, 86.18329 55.362612, 86.175815 55.365459, 86.167929 55.363245, 86.167519 55.358186, 86.174993 55.35534, 86.182878 55.357552))",0.0,7.0,0.0,0.0
"POLYGON ((86.197408 55.346798, 86.205291 55.34901, 86.205706 55.354069, 86.198235 55.356917, 86.19035 55.354705, 86.189937 55.349646, 86.197408 55.346798))",0.0,2.0,0.0,0.0
"POLYGON ((85.980001 55.325142, 85.972515 55.327977, 85.96464 55.325749, 85.964253 55.320686, 85.971739 55.317852, 85.979613 55.320079, 85.980001 55.325142))",0.0,5.0,0.0,0.0
"POLYGON ((86.23396 55.416338, 86.234379 55.421395, 86.226899 55.424244, 86.219001 55.422036, 86.218584 55.416979, 86.226064 55.41413, 86.23396 55.416338))",0.0,3.0,0.0,0.0
"POLYGON ((86.111519 55.525401, 86.111114 55.520345, 86.11862 55.517502, 86.126533 55.519715, 86.12694 55.524771, 86.119433 55.527614, 86.111519 55.525401))",0.0,2.0,0.0,0.0
"POLYGON ((86.042622 55.337879, 86.042226 55.332817, 86.049707 55.329978, 86.057584 55.3322, 86.057982 55.337261, 86.050501 55.340101, 86.042622 55.337879))",0.0,3.0,1.0,0.0
