,hotel,bus_stop,company,landmark
"POLYGON ((87.285945 53.79231, 87.285426 53.787227, 87.292543 53.784321, 87.300179 53.786496, 87.300699 53.791579, 87.293581 53.794486, 87.285945 53.79231))",0.0,0.0,0.0,2.0
"POLYGON ((87.29862 53.771248, 87.299139 53.776331, 87.292024 53.779238, 87.28439 53.777062, 87.283872 53.771979, 87.290987 53.769072, 87.29862 53.771248))",0.0,1.0,0.0,0.0
"POLYGON ((87.249746 53.727679, 87.256857 53.724774, 87.264482 53.726954, 87.264997 53.732038, 87.257886 53.734943, 87.250259 53.732763, 87.249746 53.727679))",0.0,2.0,0.0,0.0
"POLYGON ((87.210625 53.780688, 87.210115 53.775604, 87.217237 53.772701, 87.224869 53.774882, 87.225381 53.779966, 87.218258 53.782869, 87.210625 53.780688))",0.0,2.0,2.0,0.0
"POLYGON ((87.164834 53.767588, 87.157709 53.770488, 87.150078 53.768302, 87.149575 53.763217, 87.1567 53.760318, 87.16433 53.762503, 87.164834 53.767588))",0.0,0.0,1.0,0.0
"POLYGON ((87.112433 53.762451, 87.111934 53.757366, 87.119062 53.754468, 87.126689 53.756656, 87.12719 53.761742, 87.120062 53.76464, 87.112433 53.762451))",0.0,11.0,1.0,6.0
"POLYGON ((87.108942 53.726849, 87.116065 53.723952, 87.123688 53.726141, 87.124188 53.731227, 87.117064 53.734124, 87.10944 53.731935, 87.108942 53.726849))",0.0,1.0,0.0,0.0
"POLYGON ((87.344427 53.784293, 87.344952 53.789375, 87.337839 53.792284, 87.330202 53.790111, 87.329679 53.785029, 87.336792 53.78212, 87.344427 53.784293))",0.0,2.0,0.0,0.0
"POLYGON ((87.186691 53.838046, 87.193825 53.835144, 87.201467 53.837326, 87.201977 53.842408, 87.194843 53.84531, 87.187199 53.843129, 87.186691 53.838046))",0.0,1.0,0.0,0.0
"POLYGON ((87.246741 53.771255, 87.254373 53.773434, 87.254888 53.778517, 87.247769 53.781422, 87.240135 53.779243, 87.239622 53.774159, 87.246741 53.771255))",0.0,1.0,0.0,0.0
"POLYGON ((87.102997 53.893166, 87.102497 53.888083, 87.109647 53.885186, 87.117296 53.887371, 87.117797 53.892454, 87.110647 53.895352, 87.102997 53.893166))",0.0,6.0,1.0,0.0
"POLYGON ((87.367338 53.790807, 87.367865 53.795889, 87.360753 53.798799, 87.353115 53.796628, 87.352589 53.791547, 87.359701 53.788637, 87.367338 53.790807))",0.0,2.0,0.0,0.0
"POLYGON ((87.322044 53.782856, 87.329679 53.785029, 87.330202 53.790111, 87.323088 53.79302, 87.315451 53.790846, 87.31493 53.785764, 87.322044 53.782856))",0.0,1.0,0.0,0.0
